Went to bed;Woke up;Sleep Quality;Time in bed (seconds);Time asleep (seconds);Asleep after (seconds);Regularity;Did snore;Snore time (seconds);Coughing (per hour);City;Alertness score;Alertness reaction time (seconds);Alertness accuracy;Movements per hour;Wake up window start;Wake up window stop;Used_Phone
12.12.2024 01:34;12.12.2024 10:15;100%;31264;24907;625;—;false;0;0.0;;;;;84.14261;24.12.2012 09:45;24.12.2012 10:15;Yes
13.12.2024 00:51;13.12.2024 07:57;86%;25576;22507;511;75%;false;0;0.0;;;;;79.620155;24.12.2013 07:43;24.12.2013 08:10;Yes
14.12.2024 06:12;14.12.2024 09:06;33%;10438;8594;626;60%;false;0;0.0;;;;;80.25531;24.12.2014 08:45;24.12.2014 09:10;Yes
15.12.2024 02:09;15.12.2024 09:59;90%;28201;22278;564;60%;false;0;0.0;;;;;78.558655;24.12.2015 09:52;24.12.2015 10:15;Yes
16.12.2024 00:39;16.12.2024 07:51;65%;25953;21022;519;58%;true;8;0.0;;;;;92.45167;24.12.2016 07:52;24.12.2016 08:15;Yes
16.12.2024 23:32;17.12.2024 07:48;88%;29738;25476;594;73%;false;0;0.121057235;;;;;83.35914;24.12.2017 07:49;24.12.2017 08:15;Yes
18.12.2024 01:48;18.12.2024 10:18;71%;30577;27009;611;73%;false;0;0.0;;;;;96.63692;;;Yes
19.12.2024 01:51;19.12.2024 10:09;89%;29865;21801;597;83%;false;0;0.0;;85%;0,751;100%;84.17606;24.12.2019 09:45;24.12.2019 10:15;Yes
20.12.2024 01:30;20.12.2024 08:30;78%;25239;19013;504;81%;false;0;0.0;;;;;82.04091;24.12.2020 08:00;24.12.2020 08:30;Yes
21.12.2024 03:30;21.12.2024 10:44;81%;26075;20512;521;82%;false;0;0.0;;;;;80.69598;;;Yes
22.12.2024 03:26;22.12.2024 11:03;77%;27457;23887;549;82%;false;0;0.13111411;;;;;86.66663;;;Yes
23.12.2024 01:57;23.12.2024 11:50;100%;35547;28674;710;81%;false;0;0.10127437;;;;;59.683674;;;Yes
24.12.2024 02:16;24.12.2024 08:09;75%;21213;18455;424;82%;false;0;0.0;;;;;65.23707;24.12.2024 08:06;24.12.2024 08:30;Yes
25.12.2024 01:34;25.12.2024 10:04;100%;30586;25590;611;75%;false;0;0.23540182;;94%;0,622;100%;68.67694;;;Yes
26.12.2024 01:50;26.12.2024 10:13;88%;30140;28130;602;81%;false;0;0.0;;;;;80.3307;;;Yes
27.12.2024 00:46;27.12.2024 10:33;99%;35234;29479;704;88%;false;0;0.0;;;;;75.743965;;;Yes
28.12.2024 02:56;28.12.2024 11:00;87%;29013;24371;1450;88%;false;0;0.0;;;;;77.63044;;;Yes
29.12.2024 00:26;29.12.2024 11:11;63%;38683;29527;8381;81%;false;0;0.18612827;;;;;106.792854;;;No
30.12.2024 01:09;30.12.2024 10:25;80%;33325;28770;3776;81%;false;0;0.216054;;;;;94.77168;;;No
